#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2004-01-12 00:00:08
#Fields: date time c-ip cs-username s-ip s-port cs-method cs-uri-stem cs-uri-query sc-status cs(User-Agent) 
2004-01-12 00:04:58 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/dengue.swf - 404 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:04:58 201.0.79.46 - 200.155.63.7 80 GET /clientes/site/ultimas.asp clicavel=true&cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+98;+Win+9x+4.90)
2004-01-12 00:11:33 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/default.asp idfam=114&cliente=templo_juridico 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:11:33 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:11:34 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/home/clientes/templo_juridico/imagens/imagens_site/menu_azul.jpg - 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:11:39 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=templo_juridico&id=147 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:11:39 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:11:42 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/menu_lateral.asp clicavel=true&cliente=templo_juridico&id=147&fundo= 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:11:42 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/home/clientes/templo_juridico/estilos/menu_lateral.css - 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:11:49 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/default.asp id=116&cliente=templo_juridico 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:11:50 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:13:15 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:13:37 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/default.asp idfam=114&cliente=templo_juridico 200 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:13:37 200.146.31.184 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2004-01-12 00:19:51 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:54 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:54 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/undefined - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:54 200.158.88.84 - 200.155.63.7 80 GET /assis/enquete/enquete.asp - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:54 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/busca1.asp cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:55 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/ultimas.asp clicavel=true&cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:55 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/dengue.swf - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:55 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/estilos/busca.css - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:55 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/imagens/chave.gif - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:55 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/OCVscroll.class - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Win32)
2004-01-12 00:19:56 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/imagens/sobre.gif - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:19:58 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/ocfontc.class - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Win32)
2004-01-12 00:19:58 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/occcolor.class - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Win32)
2004-01-12 00:19:58 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/ocwordw.class - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Win32)
2004-01-12 00:21:41 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:41 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/dengue.swf - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:41 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/undefined - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:44 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis&id=229 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:44 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:44 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/imagens/CIDADE/rui1933.jpg - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:44 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/imagens/CIDADE/avenidahoje.jpg - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:46 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/imagens/CIDADE/fepasahoje.jpg - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:46 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/imagens/CIDADE/fepasa.jpg - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:48 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/imagens/CIDADE/catedral1930.jpg - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:48 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/imagens/CIDADE/catedral1945.jpg - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:49 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/imagens/CIDADE/catedralatual.jpg - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:21:52 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/imagens/CIDADE/catedraldelado.jpg - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:22:28 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:22:28 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/undefined - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:22:28 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/dengue.swf - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:22:31 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis&id=865 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:22:31 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:36 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:36 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:36 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/undefined - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:36 200.158.88.84 - 200.155.63.7 80 GET /assis/enquete/enquete.asp - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:38 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/ultimas.asp clicavel=true&cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:38 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/busca1.asp cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:38 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/dengue.swf - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:38 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/imagens/chave.gif - 304 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:38 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/estilos/busca.css - 304 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:38 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/imagens/sobre.gif - 304 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:41 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis&id=207 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:41 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/estilos/tabela.css - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:48 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:48 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/undefined - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:48 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/dengue.swf - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:54 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:54 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/undefined - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:24:54 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/dengue.swf - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:25:00 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/default.asp cliente=assis&id=280 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:25:00 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:25:01 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/menu_lateral.asp clicavel=true&cliente=assis&id=280&fundo= 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:25:01 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/home/clientes/assis/estilos/menu_lateral.css - 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:25:13 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/default.asp id=881&cliente=assis 200 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
2004-01-12 00:25:13 200.158.88.84 - 200.155.63.7 80 GET /clientes/site/cancelar - 404 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+FunWebProducts)
